Pays_indic,Country Name,Country Code,Indicator Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"ARE_Industry (including construction), value added (% of GDP)",United Arab Emirates,ARE,"Industry (including construction), value added (% of GDP)",72.6636063301946,68.3633070683534,63.15205197718989,61.4041786789367,62.810714308984394,61.2521468441391,52.15437334981179,54.68110115371079,53.014237654691804,55.076929206795505,58.9023505708529,46.778301487994604,55.2980232231106,51.47992164544561,46.260375087846604,45.54517392115021,46.36700236966821,45.428411501703394,40.023532459681796,42.0206625694073,48.5170116316395,49.67634128598989,47.545747582444804,49.1210129154604,51.6783480847693,55.64347630248071,57.903111718071,54.840228590250995,58.0179784435584,52.044956000368,52.530862198894205,58.0355992952437,57.449131719202995,55.0061258140395,52.764608357463395,43.8938141693106,41.44869363385111,42.574624982536605,47.0329278969485,46.1603691427285
"ARE_Population, total",Émirats arabes unis,ARE,"Population, total",1019509.0,1096610.0,1164806.0,1228459.0,1293971.0,1366164.0,1446380.0,1533536.0,1627066.0,1725681.0,1828432.0,1937153.0,2052891.0,2173139.0,2294385.0,2415090.0,2539126.0,2671362.0,2813214.0,2966034.0,3134062.0,3302719.0,3478777.0,3711932.0,4068570.0,4588225.0,5300174.0,6168838.0,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,9630959.0,9770529.0
ARE_Émissions totales de GES (kt d’équivalent CO2),Émirats arabes unis,ARE,Émissions totales de GES (kt d’équivalent CO2),60172.9218,53924.8253,52758.6888,50999.3789,66620.7794,67746.709,64880.31,62290.0822,64750.9019,71801.913,72498.5763,80008.30573,78759.69917,81325.7913,88014.56242999999,93904.01287,103034.6521,101901.38442999999,104993.2009,107207.9329,115420.5144,115018.8197,126800.2057,134091.6856,139999.4635,143367.6627,151837.32,167986.4324,181388.5363,182422.169198051,193127.157628676,199342.52255857398,204888.71896249603,,,,,,,
"ARG_Agriculture, forestry, and fishing, value added (% of GDP)",Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",6.3535050048065695,6.47552296064522,9.59615604621897,8.65832496118367,8.3459768371011,7.63430725730443,7.80040264019792,8.09435846444628,8.97786821775225,9.61606509643166,8.123676207874889,6.71649176009431,5.99078709147934,5.13682648211779,5.08266800031075,5.351464616273001,5.610866113233611,5.22197210944516,5.25272256987623,4.45782610229152,4.67991094417297,4.56858960891786,10.2066467144411,10.328166939117,8.36248661002826,7.93875427420939,6.93557229126392,7.452353946069231,7.3189545972436,5.273623468901389,7.13216745078964,6.99873377022519,5.7817442068500995,6.052918436704509,6.7127035142855895,5.1566859021408,6.26456582010254,5.478382229453441,6.09712894763666,7.20078286820996
ARG_Alternative and nuclear energy (% of total energy use),Argentina,ARG,Alternative and nuclear energy (% of total energy use),4.57346438177371,4.89051660889318,4.8704049945724694,5.90908913758431,6.73856819925394,7.9281571394070705,7.51189638067433,7.70067170787058,5.86005651698543,5.22107569618403,6.77368872524198,6.572841226140031,6.3861900099728,7.25755157649629,7.61062665801599,6.936594495015889,6.432940145861711,7.23890502852492,6.7607909276877995,5.71230677368965,6.0313990866804,7.745261830101861,7.41157902841799,7.42549695428083,6.43983830099847,6.424235431302731,6.770591046884039,5.7748678561474405,5.42888057039713,6.185341602575611,5.68326959017728,5.859038801328981,5.57056095371141,5.67143015652958,5.50150364266138,,,,,
ARG_Energy use (kg of oil equivalent per capita),Argentina,ARG,Energy use (kg of oil equivalent per capita),1498.7814612628501,1440.7802243695598,1426.35137040526,1429.2804259387601,1456.76909306501,1368.4334196146401,1428.87629693302,1483.7719739171,1510.83324552387,1446.65786822961,1412.17982926394,1435.48465794008,1489.3475938048998,1474.3065455394,1548.62325810042,1551.7451247079598,1589.9176465641501,1621.9095044682,1658.49540389345,1668.22514401839,1669.5267448454501,1570.89716364988,1510.31320228793,1598.7895410685599,1728.2140026497,1720.6737131742498,1853.0416663548801,1858.3922178786302,1937.64146650113,1865.33726382679,1928.6523565872897,1952.05105293095,1936.8035397944197,1967.02167752077,2029.92282543737,,,,,
ARG_GDP (current US$),Argentina,ARG,GDP (current US$),76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,594749285413.212,557531376217.967,642695864756.35,519871519807.795,449663446954.073
ARG_GDP growth (annual %),Argentina,ARG,GDP growth (annual %),1.51878394940456,-5.18978914005386,-0.7356591616272969,4.3490932795742205,1.5707387022300698,-5.189024352155291,6.15337706274559,2.70486882600891,-1.08993334173134,-7.156949655549719,-2.4672137763745896,9.13311056620103,7.93729155643075,8.20697907221228,5.83620070368526,-2.84520961057081,5.526689827152341,8.1110467707457,3.85017885156229,-3.3854570406327005,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.837040795769239,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.003951692805789,-1.0264204544320799,2.40532378079436,-2.5126153208139597,2.73115982828946,-2.08032784377811,2.66859037935303,-2.4817924450927404,-2.16295212091666
"ARG_Industry (including construction), value added (% of GDP)",Argentina,ARG,"Industry (including construction), value added (% of GDP)",41.2196656664295,40.3382267073251,41.1028486443199,41.5563065120102,39.70818793304,39.276154571159296,37.3804348914775,37.82867526990479,38.4866110820983,42.3478130695861,36.021881347813505,32.7225282556322,30.6839549022114,27.338739645861,26.7545586932878,26.301210335549804,26.592560639868303,27.1791508883114,26.712135762627803,26.193630499112896,25.9908360111364,25.2434339827333,30.557737091304602,32.6450990996503,28.816922006834,28.6263140439084,29.203279665246896,27.415236133478302,26.272459939594604,25.284204799373498,25.2587762576722,25.212697605884298,24.4290570649122,24.0058814423072,24.277394493660196,23.153056135905,22.0541072112108,21.869065095790898,22.967277338262402,23.131917245486196
"ARG_Population, total",Argentine,ARG,"Population, total",27896528.0,28338515.0,28794548.0,29262047.0,29737093.0,30216279.0,30698964.0,31184415.0,31668949.0,32148134.0,32618651.0,33079000.0,33529326.0,33970111.0,34402672.0,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0
